pH;Dureza;Sólidos;Cloraminas;Sulfatos;Conductividad;Carbono_orgánico;Trihalometanos;Turbidez;Potabilidad
;211.2;12830.48;4.5;326.96;333.33;16.05;49.9;3.44;NO
7.26;179.89;24964.78;5.84;349.27;501.18;17.29;50.99;3.64;NO
7.16;183.09;6743.35;3.8;277.6;428.04;9.8;90.04;3.88;NO
5.7;116.3;33223.58;7.05;297.08;504.38;9;48.15;4.16;NO
6.22;130.94;19460.38;7.09;300.13;556.65;14.08;57.9;5.33;NO
8.68;242.23;22984.05;7.52;;352.94;18.7;69.91;3.87;NO
;219.3;14859.47;5.6;344.44;425.21;15.77;49.35;4.66;NO
6.9;211.36;25650.78;6.77;;383.01;13.93;90.52;5.02;NO
3.51;158.73;23029.66;6.82;286.52;307.38;9.71;79.85;3.76;NO
3.72;163.64;37962.17;6.68;326.69;467.56;14.57;50.58;3.66;NO
6.46;176.68;24468.05;5.76;314.8;477.58;16.25;57.73;2.29;NO
7.32;217.52;31903.4;9.87;376.94;425.91;8.99;69.51;3.51;NO
1.84;233.76;28689.6;7.72;;410.39;15.61;54.3;5.01;NO
5.52;168.73;12531.6;7.73;;443.57;18.1;;3.76;NO
7.41;204.96;9566.12;6.51;311.45;504.15;11.53;81.11;3.77;NO
5.98;258.95;27267.98;7.65;383.66;514.12;12.26;82.47;2.99;NO
6.4;133.83;23827.28;5.13;266.91;573.4;9.83;95.03;4.19;NO
6.21;195.42;13116.71;7.88;;417.24;7.51;70.55;3.61;NO
6.76;232.08;27159.38;7.88;350.45;465.41;13.86;64.81;4.92;NO
9.92;199.18;21470.28;6.8;329.18;430.51;15.97;59.29;3.39;NO
10.16;300.29;12652.36;6.66;398.65;487.46;9.35;67.92;5;NO
8.72;206.37;28608.05;6.33;377.4;506.94;13.55;42.38;2.56;NO
;197.98;17153.31;7.66;329.28;575.11;11.87;69.11;4.38;NO
;199.11;29721.91;6.87;357.3;420.71;9.23;55.29;3.36;NO
6.1;237.92;20416.84;8.46;;291.1;19.27;93.14;3.17;NO
9.03;253.22;27965.07;6.59;373.55;588.32;16.15;59.12;2.02;NO
6.95;203.15;11609.11;5.5;304.28;551.14;9.39;55.96;3.65;NO
6.14;197.88;26687.87;7.59;329.23;548.07;15.84;41.26;5.36;NO
7.08;220.67;23873.38;6.18;341.99;333.05;10.66;90.3;4.76;NO
5.49;135.8;21485.15;8.19;280.6;441.33;14.86;88.29;5.07;NO
7.21;120.33;24627.87;6.2;289.77;418.43;13.64;63.73;3.71;NO
9.18;163.27;20868.33;7.73;320.42;426.99;10.21;62.43;3.11;NO
4.27;166.84;24405.25;7.39;297.21;349.52;13.48;54.47;3.76;NO
7.35;223.26;11519.05;8.89;;494.16;18.15;73.72;4.88;NO
8.53;175.61;11837.12;7.48;308.4;474.24;21.85;52.37;5.08;NO
;169.04;36152.82;8.33;329.04;590.75;17.7;103.15;4;NO
2.61;188.8;34798.25;6.8;;468.08;13.17;49.52;4.77;NO
8.49;204.12;22989.8;8.27;358.85;435;17.08;62.42;3.88;NO
;213.54;22539.71;6.96;334.04;463.4;11.62;69.62;3.4;NO
8.86;254.62;9624.3;7.95;348.41;344.3;7.94;78.11;5.53;NO
6.1;190;27776.9;6.44;347.93;245.86;14.64;73.42;3.98;NO
8.42;185.72;13237.99;4;308.14;463.65;17.21;48.78;3.96;NO
9.29;222.66;12311.27;7.29;332.24;353.74;14.17;;5.24;NO
7.88;226.28;12710.25;7.3;346.4;445.37;6.06;63.13;4.24;NO
7.73;252.27;36477.74;8.39;426.54;339.41;17.49;60.48;3.72;NO
3.39;212.03;20230.13;8.57;349.16;353.91;18.21;82.39;2.8;NO
6.75;218.42;21871.84;7.17;;373.05;16.83;74.09;3.9;NO
;190.42;28062.64;9.62;357.23;263.77;13.45;67.06;5.63;NO
7.18;261.85;14100.97;9.01;358.72;290.42;17.15;82.03;4.6;NO
10.11;240.43;15331.3;5.39;361.9;403.04;16.13;61.11;3.43;NO
7.4;122.54;8855.11;6.89;241.61;489.85;13.37;;3.15;NO
7.81;196.58;42550.84;7.33;;442.55;14.67;;6.2;NO
6.88;136.88;27433.59;7.09;307.4;342.2;18.4;81.19;3.83;NO
;146.97;16367.46;7.69;;468.95;18.6;49.56;4.66;NO
;230.81;27418.78;7.14;369.31;274.66;9.58;72.38;4.2;NO
7.52;267.06;26865.37;10.45;;505.71;16.24;57.04;2.88;NO
8.55;231.25;28918.42;7.82;369.26;432.29;16.27;73.15;3.77;NO
10.31;217.22;27653.24;8.91;369.53;382.95;6.58;59.58;3.29;NO
;252.67;29368.67;9.91;433.95;465.22;13.22;84.2;5.05;NO
7.37;207.72;24913.84;9.62;362.3;363.17;11.54;67.72;4.41;NO
11.18;228.3;16600.39;6.09;;504.05;15.04;110.74;3.81;NO
6.51;202.29;17087.08;6.2;326.66;481.77;16.54;46.21;3.55;NO
6.64;151.89;10909.19;3.75;240.94;437.91;15.26;64.2;3.81;NO
5.03;155.32;34971.81;7.12;320.12;500.64;18.31;63.19;3.24;NO
6.91;155.74;17973.18;4.92;275.91;439.65;18.38;55.51;2.61;NO
7.98;245.9;32170.07;9.64;399.58;473.66;11.73;23.82;3.55;NO
6.08;197.5;35957.79;8.13;379.53;360.06;20.1;41.87;4.2;NO
6.24;191.91;28149.41;7.13;319.31;448.24;19.37;60.94;4.51;NO
6.06;160.77;14775.15;7.48;305.83;327.27;12.31;69.04;3.47;NO
8.13;177.9;27834.22;9.01;334.44;397.02;15.94;81.39;3.36;NO
9.56;202.01;13041.83;5.82;327.12;433.38;14.14;63.55;3.76;NO
8.17;200.91;27141.36;7.26;344.16;525.6;16.14;66.23;4.29;NO
8.59;270.02;15791.68;5.91;;672.56;20.18;54.96;3.57;NO
;167.39;20944.62;4.96;;566.34;11.32;;3.68;NO
6.83;187.05;46140.13;6.14;352.7;373.43;12.61;58.75;3.03;NO
7.86;204.27;25145.02;7.92;338.21;469.49;15.99;86.17;4.16;NO
4.97;220.85;21802.74;6.25;311.6;386.41;18.04;53.91;3.42;NO
6.21;192.94;13442.6;5.82;325.91;533.8;14.69;60.49;3.55;NO
;157;20067.11;8.07;;490.91;17.32;71.97;4.42;NO
9.77;264.27;8471.68;8.35;359.27;353.2;15.05;52.65;4.64;NO
9.63;152.86;23641.7;6.93;333.15;417.17;16.67;90;4.92;NO
5.19;104.75;20060.08;6.91;;368.82;15.14;98.66;3.2;NO
7.63;199.65;16312.15;9.9;358.57;420.53;10.54;100.24;2.93;NO
5.77;155.05;24909.44;6.53;297.01;313.7;11.7;85.69;4.69;NO
6.58;197.23;17657.08;4.51;290.29;254.39;9.85;73.75;4.58;NO
4.8;180.77;13556.73;8.98;322.06;587.4;12.4;62.03;4.42;NO
7.95;238.24;19129.46;5.85;;434.66;8.66;67.3;3.69;NO
6.91;216.79;19991.24;7.3;340.11;356.46;9.61;61.12;2.12;NO
;281.27;22452.09;6.77;343.64;395.34;14.9;67.13;4.44;NO
;190.78;12224.31;4.65;308.56;399.27;11.88;61.89;3.46;NO
8.46;212.58;34406.78;8.68;384.86;477.34;13.8;;3.77;NO
7.73;233.95;21667.87;6.31;340.27;472.26;14.4;36.58;3.72;NO
;247.66;19549.5;8.77;;438.87;16.62;64.95;3.78;NO
8.93;241.88;22821.25;8.55;367.98;380.2;10.86;75.86;4.6;NO
6.21;153.22;17358.8;8.21;328.28;481.2;14.27;62.72;4.33;NO
6.13;141.49;9615.83;7.63;277.95;415.01;16.44;50.69;4.63;NO
;202.25;11981.74;9.19;339.98;416.59;14.08;62.77;2.68;NO
7.31;274.7;14600.54;8.11;384.56;415.61;16.76;68.94;3.7;NO
;170.1;39906.19;6.55;;515.39;13.52;40.51;4.35;NO
8.64;201.57;26473.71;6.97;352.31;309.98;17.67;68.66;5.26;NO
;205.51;20406.93;6.81;355.27;482.33;12.34;70.58;4.1;NO
8.15;127.14;10280.93;5.83;267.64;487.91;11.94;90.62;2.91;NO
8.29;206.16;35216.39;6.44;347.06;399.48;16.07;79.95;3.95;NO
;233.85;21136.29;6.69;;332.74;9.75;77.53;3.31;NO
;237.68;26009.08;7.07;372.6;344.77;14.44;72.7;3.71;NO
9.49;234.07;15513.74;4.74;;277.97;16.7;81.43;4.22;NO
7.83;190.8;7695.06;4.85;292.52;507.45;15.53;85.01;4.59;NO
4.43;139.69;28862.26;8.96;298.38;434.78;17.3;63.04;4.38;NO
7.24;201.19;23783.1;7.75;340.98;579.22;13.49;62.65;3.56;NO
;260.21;19517.72;8.76;368.82;251.02;12.8;48.65;3.67;NO
6.87;174.18;24112.15;5.53;297.66;484.12;11.48;65.3;3.82;NO
6.13;200.28;30989.95;8.83;348.87;341.39;9.3;79.55;4.62;NO
7.92;278.06;27192.28;9.22;424.79;358.78;15.05;56.84;3.66;NO
6.51;181.87;29136.81;7.69;345.75;475.34;12.32;52.44;4.85;NO
5.32;232.37;37625.75;8.88;380.58;580.9;12.29;55.31;2.88;NO
6.77;168.94;11067.18;7.12;305.79;289.54;18.55;62;5.22;NO
5.88;141.62;13652.29;5.7;279.78;538.5;12.03;67.91;4.03;NO
9.53;201.96;9472.61;6.11;319.58;259.64;15.63;;2.77;NO
6.34;225.03;45222.51;5.81;363.01;435.5;11.39;80.67;3.69;NO
8.66;284.1;27088.48;7.9;;512.28;16.91;72.47;3.67;NO
5.65;146.59;16462.46;6.5;299.64;272.44;13.8;87.82;5.2;NO
6.63;112.3;25839.89;7.66;312.25;327.25;19.41;85.79;4.19;NO
7.79;176.87;18344.68;7.57;338.23;371.22;9.04;76.29;4.17;NO
7.59;261.57;18371.06;6.3;;387.63;16.58;51.83;3.38;NO
7.36;185.69;16268.45;5.32;316.92;419.26;16.02;64.68;4.41;NO
9.32;129.82;16002.14;4.41;271.67;499.84;13.08;82.84;4.21;NO
3.72;248.86;23590.93;7.68;351.56;427.5;20.39;38.6;2.72;NO
6.66;216.44;20571.85;8.98;;336.83;17.75;71.7;2.95;NO
9.87;214.17;15326.86;3.35;297.08;424.29;19.19;70.07;3.36;NO
5.59;229.19;35370.74;7.99;;469.41;13.28;76.99;4.73;NO
5.55;229.12;31344.46;7.76;;306.87;13.97;87.27;2.1;NO
4.13;125.47;11215.95;5.37;261.44;445.24;18.58;86.43;4.46;NO
5.97;230.45;16324.12;5.29;315.19;327.79;13.33;39.55;5.43;NO
;229.77;16162.26;4.93;;448.85;8.82;;4.6;NO
8.37;183.5;12975.9;6.6;315.9;493.47;12.99;87.03;3.63;NO
6.28;190.02;12206.68;7.91;;395.26;13.25;58.93;3.38;NO
11.27;161.9;6040.37;7.21;;316.54;11.77;25.53;4.15;NO
9.3;163.04;13990.51;4.25;;399.48;15.37;83.92;3.68;NO
7.9;154.27;7769.62;7.21;258.31;407.73;16.42;63.02;4.24;NO
7.95;269.81;34440.77;6.96;390.1;425.63;13.75;56.64;3.7;NO
10.03;224.27;14962.18;7.43;336.97;517.51;18.86;65.36;4.18;NO
6.49;225.48;34864.43;8.95;385.51;324.51;12.7;97.11;4.59;NO
5.87;207.73;22244.22;6.6;352.56;465.62;14.84;77.82;4.69;NO
;220.81;21410.32;6.32;335.85;382.2;9.5;86.99;3.66;NO
5.3;160.97;25299.51;6.29;300.5;497.79;15.01;61.12;4.17;NO
7.53;186.92;11642.73;5.89;;363.51;10.74;49.57;3.46;NO
4.08;207.84;18194.95;7.92;;288.37;13.31;35.82;2.76;NO
;105.86;37928.14;5.61;;358.89;12.21;71.12;3.87;NO
7.09;189.15;4304.49;3.62;259.37;400.9;12.99;63.9;3.42;NO
6.27;213.44;24846.14;8.37;;543.39;17.92;84.58;5.3;NO
7.96;276.73;17162.4;7.84;397.43;514.42;14.53;60.56;3.45;NO
8.88;228.92;28487.71;5.32;351.96;474.77;14.68;52.58;4.01;NO
;192.45;18257.57;7.47;313.78;462.4;13.93;53.19;4.36;NO
6.61;141.13;25648.57;7.22;295.24;374.77;14.04;74.3;3.54;NO
7.74;137.32;16723.98;7.68;282.54;595.33;18.76;63.04;2.15;NO
9.93;238.71;10704.6;6.11;351.6;405.9;13.55;59.46;4.7;NO
9;202.99;19523.12;7.24;330.36;366.49;15.69;55.7;4.9;NO
5.1;273.41;26307.3;10.22;380.2;513.88;18.27;61.43;4.35;NO
8.59;263.76;23220.12;6.39;383.96;588.85;13.58;86.19;4.75;NO
7.08;112.82;8580.25;4.21;234.85;434.75;23.4;94.16;3.89;NO
7.68;180.7;12105.72;5.4;296.24;469.84;15.83;61.8;3.78;NO
;133.81;18272.51;5.91;;415.21;11.5;92.98;3.31;NO
6.42;208.76;30759.68;7.77;;523.6;20.23;;3.1;NO
4.44;178.96;25008.53;4.95;298.58;429.54;17.73;56.35;3.27;NO
6.98;183.24;23114.45;6.5;323.16;470.08;16.08;66;4.77;NO
6.62;203.03;17167.3;6.05;311.73;410.24;15.91;65.02;2.92;NO
3.66;201.1;28102.76;5.68;330.02;291.15;17.47;75.1;3.32;NO
4.81;205.21;17650.41;8.12;350.49;414.03;11;47.4;5.19;NO
5.78;199.59;24160.35;9.46;;428.55;16.02;64.87;4.66;NO
6.94;177.58;12626.2;7.38;;439.62;9.35;83.16;3.72;NO
7.44;208.09;28544.62;6.5;339.02;522.79;17.12;65.31;3.73;NO
4.72;252.27;22833.19;5.92;378.56;411.3;16.58;66.73;3.92;NO
9.38;265.06;15156.79;4.27;333.33;503.17;11.29;99.02;4.03;NO
7.81;187.32;20418.89;7.21;325.23;351.19;16.8;68.49;4.03;NO
9.44;143.79;20724.93;7.7;;469.76;14.22;66.08;4.41;NO
9.41;216.76;27948.59;6.16;355.47;347.98;16.34;32.11;3.1;NO
6.32;207.26;8532.14;5.99;286.49;491.77;10.55;74.5;4.5;NO
;217.37;17984.33;8.59;;409.22;10.21;18.4;3.61;NO
4.71;103.17;19555.77;6.77;;370.18;9.18;93.9;3.44;NO
8.9;222.26;8870.9;6.01;332;425.23;10.85;;3.7;NO
6.58;272.98;37169.44;8.11;416.08;351.48;15.13;79.26;4.2;NO
6.76;231.26;18536.7;8.76;342.55;385.11;13.89;79.3;5.16;NO
9.45;145.81;13168.53;9.44;310.58;592.66;8.61;77.58;3.88;SI
9.02;128.1;19859.68;8.02;300.15;451.14;14.77;73.78;3.99;SI
;169.97;23403.64;8.52;;475.57;12.92;50.86;2.75;SI
6.8;242.01;39143.4;9.5;187.17;376.46;11.43;73.78;3.85;SI
7.17;203.41;20401.1;7.68;287.09;315.55;14.53;74.41;3.94;SI
7.66;236.96;14245.79;6.29;373.17;416.62;10.46;85.85;2.44;SI
8.32;207.25;28049.65;8.83;297.81;358.73;18.71;60.91;4.05;SI
5.93;223.86;23249.65;4.6;;277.38;11.37;66.62;5.22;SI
9.8;98.77;27357.46;9.22;323.2;512.43;14.17;59.45;2.76;SI
6.1;215.27;15976.93;8.86;308.48;417.84;13.15;62.51;3.54;SI
5;280.08;26849.19;6.13;374.23;297.61;15.57;70.56;3.4;SI
4.82;217.69;16392.14;7.46;278.74;481.48;15.52;77.69;4.38;SI
6.55;278.59;25508.39;6.75;366.87;497.32;16.56;79.32;3.61;SI
13.18;47.43;19237.95;8.91;375.15;500.25;12.08;;4.11;SI
6.62;233.66;19598.86;4.7;432.56;401.67;11.77;73.19;4.44;SI
7.79;212.69;29879.06;7;360.67;359.57;14.83;83.86;3.37;SI
5.19;211.09;14866.1;7.24;323.11;388.72;17.78;83.51;3.86;SI
5.63;230.86;14442.42;5.21;;346.55;11.37;43.2;1.94;SI
6.87;251.29;21728.82;8.8;279.78;539.47;12.99;56.41;4.73;SI
9.06;155.36;15737.47;7.25;343.23;463.39;17.85;83.18;3.65;SI
7.29;127.54;27784.05;9.75;247.34;439.65;17.29;59.56;5.33;SI
7.28;175.22;22644.77;7.89;293.31;373.35;17.41;56.8;5.06;SI
6.51;229.26;22475.05;12.58;192.03;479.5;9.98;66.67;4.61;SI
7.21;175.87;35804.29;8.07;320.1;468.56;16.16;71.15;3.76;SI
;156.52;16146.16;6.63;352.35;629.28;13.51;42.34;3.77;SI
5.32;280.09;35344.66;13.04;180.21;392.42;10.5;55.08;4.43;SI
7.08;169.47;29846.72;5.44;350.4;353.03;18.96;30.39;3.49;SI
5.33;224.79;28897.49;6.05;;360.18;12.25;67.15;5.09;SI
10.76;81.71;25999.95;8.48;318.43;392.7;12.72;52.25;4.66;SI
6.29;258.3;13777.38;7.48;328.68;563.43;16.46;73.52;4.1;SI
9.79;129.87;20682.73;9.39;291.98;427.12;11.85;78.71;2.95;SI
8.21;167.1;13933.09;10.42;243.49;391.07;13.75;61.06;4.98;SI
6.94;173.33;20111.82;6.7;;374.49;19.94;;4.56;SI
10.36;136.32;48621.56;9.16;327.92;365.72;17.98;77.36;4.2;SI
7.96;171.48;23625.81;9.54;259.98;327.62;16.12;107.75;4.7;SI
3.88;243.81;7751.81;0.53;;341.29;12.99;60.11;3.73;SI
5.67;216.04;15949.15;7.5;;372.54;17.9;77.46;3.83;SI
10;143.09;46113.96;12.91;;574.56;16.96;36.77;4.75;SI
6.55;198.81;34006.42;8.69;274.9;477.16;14.37;78.17;4.69;SI
7.63;156.79;26244.04;8.34;255.04;495.97;13.63;65.6;4.18;SI
4.79;268.72;17862.37;4.55;377.24;608.85;10.81;83.7;3.26;SI
7.71;181.94;6552.63;5.39;390.6;516.28;17.01;58.24;4.29;SI
8.29;211.22;20008.13;8.77;275.77;475.91;12.61;66.61;3.42;SI
6.19;225.68;12883.73;4.74;;389.41;14.56;76.46;3.47;SI
9.03;121.44;15618.17;6.16;372.93;390.66;15.03;63.13;4.93;SI
6.14;236.67;8081.47;6.25;;416.24;12.78;106.04;3.26;SI
7.13;178.37;25840.58;7.49;312.98;323.3;16.41;69.16;3.42;SI
;191.29;21948.33;5.63;355.49;509.41;16.69;84.11;4.11;SI
5.42;187.78;35902.72;4.36;;454.52;6.37;103.37;4.51;SI
8.08;195.8;29483.6;10.49;298.74;321.75;9.75;72.73;3.68;SI
;225.29;22511.69;7.06;377.13;291.35;11.59;72.51;4.08;SI
10.05;132.83;11557.03;8.55;323.51;442.77;13.38;92.18;5.13;SI
5.67;229.93;16953.9;8.77;293.57;554.12;14.25;54.44;3.63;SI
;181.69;27776.18;7.59;298.23;417.63;8.63;72.92;3.81;SI
8.92;135.94;27919.77;12.36;;415.63;11.95;69.31;4.16;SI
6.43;225.61;15596.47;6.15;;466.04;18.02;87.16;4.18;SI
6.96;201.72;11348.68;4.3;;468.59;10.49;89.69;4.98;SI
5.87;203.33;19216.68;9.21;;420.29;11.12;65.23;5.41;SI
6.8;187.78;15300.84;7.49;316.96;498.67;19.6;55.4;5.16;SI
10.04;113.83;16266.43;7.94;363.87;557.49;13.2;75.23;3.81;SI
;273.26;44506.44;8.41;233.79;485.65;14.71;52.16;4.12;SI
7.3;235.74;36043.71;5.2;377.19;385.61;17.05;89.62;4.17;SI
;161.83;29299.12;7.03;350.43;375.78;19.76;86.7;3.5;SI
5.86;185.07;44069.27;4.38;412.69;331.57;15.31;59.61;5.51;SI
7.29;174.48;33991.65;9.51;259.16;435.11;16.29;81.69;4.47;SI
8.06;200.49;11567.89;9.89;;510.41;10.65;40.99;4.47;SI
7.82;157.18;23318.19;9.08;324.85;294.64;17.19;72.57;3.53;SI
11.3;77.46;39227.62;8.52;337.5;410.86;14.33;53.12;3.31;SI
6.59;233.51;25589.61;9.79;;489.7;14.39;46.46;2.35;SI
9.16;119.84;26618.06;6.11;343.29;379.73;10.9;54.58;4.89;SI
;144.82;14507.02;5.82;353.61;290.89;8.94;67.59;5.92;SI
4.64;307.71;16115.93;7.71;;439.94;18.44;60.15;3.98;SI
7.8;188.39;32704.57;11.08;258.19;507.18;18.27;85.18;4.11;SI
5.56;256.21;11245.74;7.21;329.34;369.56;15.64;51.15;2.29;SI
7.89;213.05;38852.03;11.17;281.7;326.12;10.39;64.66;4.59;SI
7.44;193.12;13551.95;4.31;;430.49;19.4;72.08;2.66;SI
3.66;275.77;23736.82;9.1;;426.23;17.99;55.69;3.31;SI
9.6;167.09;21153.32;7.94;346.08;335.2;14.35;50.64;5.15;SI
6.96;212.76;29957.19;7.68;321.25;378.09;13.13;72.09;3.99;SI
7.67;152.88;22989.35;6.23;343.44;401.14;14.25;64.29;4.27;SI
6.74;220.1;24694.74;8.37;;384.31;6.75;8.18;4.06;SI
;163.22;18570.29;8.11;296.19;463.74;16.9;61.35;4.14;SI
5.38;240.02;18189.39;5.55;397.7;551.48;12.82;79.78;4.17;SI
7.02;264.53;15978.36;10.96;262.06;412.71;5.32;76.02;4.97;SI
;250.71;27355.93;6.48;377.36;559.82;13.65;77.92;2.97;SI
10.03;94.09;25510.1;6.61;385.4;388.47;11.89;69.27;3.74;SI
5.58;261.23;35278.68;6.59;;278.64;13.57;83.27;3.87;SI
7.95;221.37;18621.42;6.88;;309.25;19.06;72.69;5.26;SI
5.5;254.67;21082.85;8.37;347.82;469.8;13.5;60.05;4.18;SI
7.54;161.62;19116.01;8.49;289.96;440.28;13.34;80.24;3.63;SI
6.85;159.19;12837.51;5.16;373.99;558.82;12.25;69.77;4.4;SI
;181.21;30280.79;10.38;256.63;488;11.35;68.84;3.78;SI
5.91;282.74;15244.85;6.64;363.38;695.37;13.14;89.8;3.66;SI
8.72;153.98;11734.45;7.12;;447.03;12.74;39.93;3.21;SI
6.02;221.15;16656.06;5.2;;383.21;22.52;81.63;4.42;SI
9.57;173.11;38787.46;5.15;444.97;492.41;12.9;48.48;4.2;SI
4.3;278.15;19672.49;4.96;414.64;330.07;11.29;70.67;4.16;SI
3.55;323.12;38969.39;8.93;;514.76;10.16;71.1;3.97;SI
8.53;157.7;18203.73;8.93;309.54;498.65;12.29;52.03;3.78;SI
8.07;174.12;21366.28;7.49;315.18;497.02;11.42;46.21;3.76;SI
9.16;186.67;15797.03;8.15;333.81;425.75;12.18;112.62;4.53;SI
8.85;188.92;32033.33;13.13;182.4;479.79;12.07;77.67;4.01;SI
9.5;185.88;18088.35;7.53;388.77;409.45;12.4;63.36;4.17;SI
8.05;198.99;9025.08;7.22;338.4;328.43;9.14;42.75;3.63;SI
2.8;311.38;26931.24;7.12;;521.14;14.24;42.08;3.66;SI
6.43;188.98;11965.4;7.57;365.45;502.99;13.87;96.82;3.73;SI
7.76;213.05;25259.78;7.64;363.68;543.53;15.25;107.19;4.17;SI
7.75;239.79;29331.24;10.71;217;441.53;16.39;;2.51;SI
5.12;225.66;30914.11;6.21;371.65;356.86;8.07;77.39;3.94;SI
